SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal,Cluster
NC(=O)c1cc2c(=O)n3ccccc3nc2[n+](Cc2ccco2)c1N,ligprep_CSK_2.sdf:22737,67852,Done,1.64,-9.39058,glide-grid_CSK,-9.39108,-2.15846,-0.600916,0,-3.28041,-37.13,-12.096,0.333908,-0.0143043,-76.557,-49.226,1.67167,16
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)C(N)=O,ligprep_CSK_2.sdf:3134,10046,Done,31.15,-9.36955,glide-grid_CSK,-9.57555,-2.71069,-1.13513,0,-0.173576,-50.1066,-24.5468,1.00117,-0.369974,-123.035,-74.6534,12.6647,15
O=C([O-])c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,ligprep_CSK_2.sdf:3552,11344,Done,7.94,-9.3648,glide-grid_CSK,-9.3648,-2.95219,-0.739426,0,-2.16999,-38.9104,-11.7758,0.280159,-0.0714592,-83.5132,-50.6863,3.47275,8
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1[C@H]1CC[N@@H+](CC(=O)NCCNc2cccc3c2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)CC1,ligprep_CSK_2.sdf:571,1821,Done,26.18,-9.32268,glide-grid_CSK,-9.39638,-2.66103,0,0,-1.28228,-78.0313,-9.49704,0.176322,-0.303274,-129.93,-87.5283,15.2667,9
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]c[nH+]1)NC(=O)[C@H](CCCCNC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)OCc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1cccnc1)C(=O)[O-],ligprep_CSK_2.sdf:3800,12118,Done,234.32,-9.32216,glide-grid_CSK,-9.98216,-1.78073,-1.29235,0,0.303464,-58.5868,-29.9889,0.309752,-0.592958,-151.616,-88.5757,19.6342,4
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,ligprep_CSK_2.sdf:4980,16092,Done,51.69,-9.30106,glide-grid_CSK,-9.30106,-0.894267,-0.524671,0,-1.57918,-50.4899,-28.8711,0.327531,-0.105968,-128.433,-79.361,19.0583,7
Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,ligprep_CSK_2.sdf:2103,7168,Done,2.93,-9.2914,glide-grid_CSK,-9.2914,-2.30963,-0.806591,0,-3.23446,-36.9585,-8.6328,0.256105,-0.0539767,-69.5715,-45.5913,1.90725,0
C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2O)[C@H](O)[C@H](O)[C@H]1O,ligprep_CSK_2.sdf:2620,8689,Done,7.15,-9.2474,glide-grid_CSK,-9.2474,-2.72557,-0.613333,0,-0.90465,-33.8221,-24.0151,0.298927,-0.00940157,-87.8134,-57.8372,7.41592,12
[NH3+]CCOc1cc(C(=O)/N=c2/cc(OCC[NH3+])c3ccccc3[nH]2)nc(C(=O)Nc2cc(OCC[NH3+])c3ccccc3n2)c1,ligprep_CSK_2.sdf:3309,10595,Done,20.16,-9.23611,glide-grid_CSK,-9.35651,-2.25933,-0.673807,0,-0.365496,-51.8791,-24.5273,0.525949,-0.310769,-126.233,-76.4065,22.6887,12
COCCOc1ccc2c(c1)ncn2-c1ccc2cccc(N3CCC([NH3+])CC3)c2n1,ligprep_CSK_2.sdf:2497,8428,Done,11.6,-9.22798,glide-grid_CSK,-9.24558,-2.40787,-0.586518,0,-2.35617,-43.6609,-14.942,0.564508,-0.035196,-91.5737,-58.6029,2.13232,17
O=c1[nH]cnc2c1ncn2[C@@H]1C[C@@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1,ligprep_CSK_2.sdf:14347,51704,Done,14.45,-9.22157,glide-grid_CSK,-9.32417,-1.04018,-1.09641,0,-2.71319,-30.2536,-21.6677,0.411606,-0.123163,-96.6377,-51.9213,1.04291,10
COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC,ligprep_CSK_2.sdf:2312,7789,Done,4.84,-9.20838,glide-grid_CSK,-9.25598,-3.06122,-0.843702,0,-1.99053,-35.9047,-11.8697,0.215165,0,-71.8376,-47.7745,3.4596,12
N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3454,11043,Done,79.74,-9.19152,glide-grid_CSK,-11.0158,-1.402,-1.29043,0,-0.90254,-62.8687,-40.5137,0.436001,-0.713418,-186.952,-103.382,18.7545,3
